cell_id,branch_label
1470,monocyte-derived macrophage
1471,MMP9+ macrophage
1472,VEGFA+ macrophage
1474,TREM2+ macrophage
1475,VEGFA+ macrophage
1476,VEGFA+ macrophage
1478,VEGFA+ macrophage
1479,monocyte-derived macrophage
1481,VEGFA+ macrophage
1482,VEGFA+ macrophage
1485,monocyte-derived macrophage
1491,VEGFA+ macrophage
1494,VEGFA+ macrophage
1498,TREM2+ macrophage
1499,VEGFA+ macrophage
1500,TREM2+ macrophage
1501,VEGFA+ macrophage
1507,VEGFA+ macrophage
1515,TREM2+ macrophage
1518,VEGFA+ macrophage
1519,VEGFA+ macrophage
1525,VEGFA+ macrophage
1528,monocyte-derived macrophage
1529,TREM2+ macrophage
1533,TREM2+ macrophage
1535,VEGFA+ macrophage
1536,TREM2+ macrophage
1537,VEGFA+ macrophage
1539,monocyte-derived macrophage
1549,TREM2+ macrophage
1560,TREM2+ macrophage
1562,VEGFA+ macrophage
1564,VEGFA+ macrophage
1566,VEGFA+ macrophage
1567,monocyte-derived macrophage
1568,VEGFA+ macrophage
1569,VEGFA+ macrophage
1575,TREM2+ macrophage
1576,monocyte-derived macrophage
1579,VEGFA+ macrophage
1581,VEGFA+ macrophage
1585,monocyte-derived macrophage
1588,VEGFA+ macrophage
1593,VEGFA+ macrophage
1594,TREM2+ macrophage
1597,VEGFA+ macrophage
1599,VEGFA+ macrophage
1600,VEGFA+ macrophage
1604,VEGFA+ macrophage
1608,monocyte-derived macrophage
1612,VEGFA+ macrophage
1613,VEGFA+ macrophage
1617,TREM2+ macrophage
1618,VEGFA+ macrophage
1620,MARCO+ macrophage
1625,MMP9+ macrophage
1626,VEGFA+ macrophage
1630,VEGFA+ macrophage
1632,monocyte-derived macrophage
1633,monocyte-derived macrophage
1634,monocyte-derived macrophage
1636,VEGFA+ macrophage
1637,TREM2+ macrophage
1638,TREM2+ macrophage
1639,VEGFA+ macrophage
1640,monocyte-derived macrophage
1643,monocyte-derived macrophage
1644,TREM2+ macrophage
1645,TREM2+ macrophage
1649,VEGFA+ macrophage
1650,TREM2+ macrophage
1652,monocyte-derived macrophage
1653,monocyte-derived macrophage
1655,VEGFA+ macrophage
1657,monocyte-derived macrophage
1658,MMP9+ macrophage
1663,monocyte-derived macrophage
1669,proliferative macrophage
1671,VEGFA+ macrophage
1673,TREM2+ macrophage
1681,monocyte-derived macrophage
1683,TREM2+ macrophage
1685,VEGFA+ macrophage
1687,VEGFA+ macrophage
1691,VEGFA+ macrophage
1692,VEGFA+ macrophage
1693,VEGFA+ macrophage
1694,monocyte-derived macrophage
1696,VEGFA+ macrophage
1703,VEGFA+ macrophage
1705,VEGFA+ macrophage
1708,VEGFA+ macrophage
1709,VEGFA+ macrophage
1713,VEGFA+ macrophage
1714,VEGFA+ macrophage
1716,MMP9+ macrophage
1718,TREM2+ macrophage
1723,VEGFA+ macrophage
1725,VEGFA+ macrophage
1726,monocyte-derived macrophage
1732,monocyte-derived macrophage
1734,TREM2+ macrophage
1735,monocyte-derived macrophage
1736,VEGFA+ macrophage
1738,MARCO+ macrophage
1739,VEGFA+ macrophage
1740,VEGFA+ macrophage
1744,monocyte-derived macrophage
1745,TREM2+ macrophage
1747,MARCO+ macrophage
1750,VEGFA+ macrophage
1754,monocyte-derived macrophage
1755,VEGFA+ macrophage
1756,VEGFA+ macrophage
1758,VEGFA+ macrophage
1760,MARCO+ macrophage
1761,VEGFA+ macrophage
1762,VEGFA+ macrophage
1763,VEGFA+ macrophage
1767,monocyte-derived macrophage
1768,TREM2+ macrophage
1770,VEGFA+ macrophage
1773,VEGFA+ macrophage
1775,monocyte-derived macrophage
1777,VEGFA+ macrophage
1779,proliferative macrophage
1780,monocyte-derived macrophage
1785,VEGFA+ macrophage
1789,VEGFA+ macrophage
1791,VEGFA+ macrophage
1792,monocyte-derived macrophage
1793,VEGFA+ macrophage
1794,VEGFA+ macrophage
1795,monocyte-derived macrophage
1798,VEGFA+ macrophage
1799,VEGFA+ macrophage
1801,MARCO+ macrophage
1802,MMP9+ macrophage
1804,TREM2+ macrophage
1807,VEGFA+ macrophage
1810,monocyte-derived macrophage
1813,TREM2+ macrophage
1814,TREM2+ macrophage
1817,VEGFA+ macrophage
1818,VEGFA+ macrophage
1821,monocyte-derived macrophage
1823,VEGFA+ macrophage
1824,VEGFA+ macrophage
1826,patient-specific macrophage
1830,monocyte-derived macrophage
1832,VEGFA+ macrophage
1833,TREM2+ macrophage
1837,VEGFA+ macrophage
1839,monocyte-derived macrophage
1842,VEGFA+ macrophage
1843,VEGFA+ macrophage
1844,VEGFA+ macrophage
1847,VEGFA+ macrophage
1848,monocyte-derived macrophage
1853,monocyte-derived macrophage
1854,VEGFA+ macrophage
1856,VEGFA+ macrophage
1858,monocyte-derived macrophage
1862,monocyte-derived macrophage
1865,VEGFA+ macrophage
1866,VEGFA+ macrophage
1867,monocyte-derived macrophage
1871,VEGFA+ macrophage
1873,monocyte-derived macrophage
1875,VEGFA+ macrophage
1877,VEGFA+ macrophage
1878,VEGFA+ macrophage
1880,VEGFA+ macrophage
1881,VEGFA+ macrophage
1882,VEGFA+ macrophage
1889,VEGFA+ macrophage
1890,TREM2+ macrophage
1896,TREM2+ macrophage
1914,monocyte-derived macrophage
1915,VEGFA+ macrophage
1916,TREM2+ macrophage
1918,VEGFA+ macrophage
1924,VEGFA+ macrophage
1926,TREM2+ macrophage
1928,monocyte-derived macrophage
1930,VEGFA+ macrophage
1931,TREM2+ macrophage
1934,monocyte-derived macrophage
1935,VEGFA+ macrophage
1936,monocyte-derived macrophage
1937,VEGFA+ macrophage
1940,VEGFA+ macrophage
1941,monocyte-derived macrophage
1943,VEGFA+ macrophage
1945,monocyte-derived macrophage
1947,monocyte-derived macrophage
1949,VEGFA+ macrophage
1950,VEGFA+ macrophage
1954,VEGFA+ macrophage
1956,TREM2+ macrophage
1959,monocyte-derived macrophage
1961,VEGFA+ macrophage
1965,MMP9+ macrophage
1967,VEGFA+ macrophage
1969,VEGFA+ macrophage
1970,VEGFA+ macrophage
1981,monocyte-derived macrophage
1982,monocyte-derived macrophage
1983,TREM2+ macrophage
1985,VEGFA+ macrophage
1989,VEGFA+ macrophage
1992,proliferative macrophage
1993,TREM2+ macrophage
1995,VEGFA+ macrophage
1996,VEGFA+ macrophage
2001,VEGFA+ macrophage
2002,VEGFA+ macrophage
2003,VEGFA+ macrophage
2004,monocyte-derived macrophage
2007,VEGFA+ macrophage
2009,VEGFA+ macrophage
2015,VEGFA+ macrophage
2016,VEGFA+ macrophage
2020,TREM2+ macrophage
2022,VEGFA+ macrophage
2023,TREM2+ macrophage
2027,TREM2+ macrophage
2030,TREM2+ macrophage
2031,monocyte-derived macrophage
2032,VEGFA+ macrophage
2033,VEGFA+ macrophage
2034,VEGFA+ macrophage
2037,monocyte-derived macrophage
2038,VEGFA+ macrophage
2039,monocyte-derived macrophage
2043,TREM2+ macrophage
2049,VEGFA+ macrophage
2050,VEGFA+ macrophage
2051,VEGFA+ macrophage
2053,TREM2+ macrophage
2055,VEGFA+ macrophage
2056,VEGFA+ macrophage
2057,VEGFA+ macrophage
2058,VEGFA+ macrophage
2060,VEGFA+ macrophage
2061,TREM2+ macrophage
2062,VEGFA+ macrophage
2063,monocyte-derived macrophage
2064,VEGFA+ macrophage
2066,VEGFA+ macrophage
2069,VEGFA+ macrophage
2070,TREM2+ macrophage
2071,VEGFA+ macrophage
2072,VEGFA+ macrophage
2083,monocyte-derived macrophage
2084,VEGFA+ macrophage
2086,monocyte-derived macrophage
2087,monocyte-derived macrophage
2088,TREM2+ macrophage
2090,monocyte-derived macrophage
2092,monocyte-derived macrophage
2093,TREM2+ macrophage
2095,VEGFA+ macrophage
2096,TREM2+ macrophage
