cell_id,branch_label
3632,proliferative CD4 T
3638,regulatory T
3642,regulatory T
3648,central memory T
3650,cytotoxic T lymphocytes
3658,regulatory T
3668,cytotoxic T lymphocytes
3669,regulatory T
3673,regulatory T
3680,central memory T
3685,cytotoxic T lymphocytes
3694,regulatory T
3699,regulatory T
3706,regulatory T
3716,regulatory T
3720,central memory T
3721,central memory T
3722,cytotoxic T lymphocytes
3727,regulatory T
3736,proliferative CD4 T
3740,regulatory T
3747,regulatory T
3754,regulatory T
3755,cytotoxic T lymphocytes
3757,tissue-resident memory T
3770,regulatory T
3780,regulatory T
3786,central memory T
3794,regulatory T
3795,proliferative CD4 T
3800,proliferative CD4 T
3806,regulatory T
3813,regulatory T
3814,regulatory T
3820,regulatory T
3822,regulatory T
3843,regulatory T
3846,central memory T
3848,cytotoxic T lymphocytes
3851,proliferative CD4 T
3854,proliferative CD4 T
3855,regulatory T
3856,regulatory T
3861,central memory T
3862,tissue-resident memory T
3873,regulatory T
3886,regulatory T
3887,proliferative CD4 T
3888,regulatory T
3890,regulatory T
3896,cytotoxic T lymphocytes
3900,regulatory T
3908,regulatory T
3911,regulatory T
3928,regulatory T
3931,cytotoxic T lymphocytes
3933,proliferative CD4 T
3935,regulatory T
3939,tissue-resident memory T
3944,naïve T
3946,regulatory T
3955,proliferative CD4 T
3960,regulatory T
3965,regulatory T
3971,regulatory T
3973,regulatory T
3975,tissue-resident memory T
3976,regulatory T
3978,regulatory T
3979,regulatory T
3989,regulatory T
3999,cytotoxic T lymphocytes
4000,regulatory T
4022,proliferative CD4 T
4029,regulatory T
4035,regulatory T
4038,regulatory T
4042,regulatory T
4044,regulatory T
4049,regulatory T
4052,central memory T
4054,regulatory T
4064,cytotoxic T lymphocytes
4066,regulatory T
4068,regulatory T
4070,regulatory T
4086,tissue-resident memory T
4087,regulatory T
4096,central memory T
4098,regulatory T
4099,regulatory T
4114,regulatory T
4117,cytotoxic T lymphocytes
4124,regulatory T
4128,regulatory T
4138,cytotoxic T lymphocytes
4139,regulatory T
4149,regulatory T
4156,proliferative CD4 T
4157,regulatory T
4159,regulatory T
4160,central memory T
4181,central memory T
4183,regulatory T
4186,proliferative CD4 T
4192,central memory T
4205,regulatory T
4207,central memory T
4212,cytotoxic T lymphocytes
4228,regulatory T
4243,tissue-resident memory T
4245,regulatory T
4250,tissue-resident memory T
4253,regulatory T
4254,regulatory T
4255,cytotoxic T lymphocytes
4257,regulatory T
4258,cytotoxic T lymphocytes
4260,central memory T
4262,regulatory T
4263,regulatory T
4265,regulatory T
4266,proliferative CD4 T
4267,regulatory T
4268,central memory T
4272,regulatory T
4273,intermediate T
4286,tissue-resident memory T
4288,regulatory T
4296,proliferative CD4 T
4298,intermediate T
4300,cytotoxic T lymphocytes
4303,cytotoxic T lymphocytes
4307,central memory T
4311,regulatory T
4314,tissue-resident memory T
4330,regulatory T
4342,central memory T
4347,cytotoxic T lymphocytes
4350,cytotoxic T lymphocytes
4354,regulatory T
4371,regulatory T
4379,regulatory T
4382,regulatory T
4389,cytotoxic T lymphocytes
4391,cytotoxic T lymphocytes
4396,regulatory T
4398,central memory T
4402,cytotoxic T lymphocytes
4407,regulatory T
4413,regulatory T
4418,regulatory T
4420,proliferative CD4 T
4427,regulatory T
4432,regulatory T
4439,regulatory T
4442,tissue-resident memory T
4445,regulatory T
4453,central memory T
4462,proliferative CD4 T
4468,cytotoxic T lymphocytes
4473,regulatory T
4479,regulatory T
4483,central memory T
4485,regulatory T
4486,proliferative CD4 T
4487,cytotoxic T lymphocytes
4497,regulatory T
4498,regulatory T
4508,regulatory T
4509,tissue-resident memory T
4522,regulatory T
4523,regulatory T
4524,regulatory T
4529,regulatory T
4530,regulatory T
4532,tissue-resident memory T
4541,proliferative CD4 T
4543,central memory T
4552,regulatory T
4555,regulatory T
4556,central memory T
4559,regulatory T
4566,regulatory T
4570,regulatory T
4573,regulatory T
4581,regulatory T
4584,central memory T
4588,regulatory T
4592,regulatory T
4593,cytotoxic T lymphocytes
4594,tissue-resident memory T
4601,regulatory T
4605,regulatory T
4610,cytotoxic T lymphocytes
4612,regulatory T
4616,regulatory T
4617,regulatory T
4621,regulatory T
4622,regulatory T
4623,regulatory T
4624,cytotoxic T lymphocytes
4627,regulatory T
4633,regulatory T
4635,regulatory T
4638,cytotoxic T lymphocytes
4646,cytotoxic T lymphocytes
4657,central memory T
4662,regulatory T
4666,central memory T
4669,regulatory T
4680,regulatory T
4688,regulatory T
4691,regulatory T
4692,cytotoxic T lymphocytes
4696,tissue-resident memory T
4703,cytotoxic T lymphocytes
4705,cytotoxic T lymphocytes
4708,cytotoxic T lymphocytes
4715,regulatory T
4719,central memory T
4732,tissue-resident memory T
4735,regulatory T
4745,regulatory T
4752,regulatory T
4757,central memory T
4758,regulatory T
4764,regulatory T
4774,cytotoxic T lymphocytes
4775,regulatory T
4776,regulatory T
4783,cytotoxic T lymphocytes
4784,cytotoxic T lymphocytes
4785,central memory T
4787,effector memory T
4788,regulatory T
4791,regulatory T
4793,cytotoxic T lymphocytes
4794,regulatory T
4797,regulatory T
4808,regulatory T
4812,regulatory T
4813,central memory T
4814,cytotoxic T lymphocytes
4815,regulatory T
4826,tissue-resident memory T
4832,regulatory T
4834,central memory T
4839,regulatory T
4859,proliferative CD4 T
4860,regulatory T
4865,regulatory T
4870,proliferative CD4 T
4871,effector memory T
4872,regulatory T
4876,cytotoxic T lymphocytes
4891,regulatory T
4898,proliferative CD4 T
4899,regulatory T
4905,regulatory T
4923,cytotoxic T lymphocytes
4927,regulatory T
4930,regulatory T
4937,regulatory T
4939,cytotoxic T lymphocytes
4941,regulatory T
4945,central memory T
4957,regulatory T
4967,cytotoxic T lymphocytes
4969,cytotoxic T lymphocytes
4971,central memory T
4975,central memory T
4982,regulatory T
4983,regulatory T
4992,regulatory T
4996,regulatory T
5007,regulatory T
5018,regulatory T
5021,regulatory T
5026,regulatory T
5030,cytotoxic T lymphocytes
5032,regulatory T
5036,regulatory T
5040,regulatory T
5048,regulatory T
5052,regulatory T
5056,regulatory T
5058,regulatory T
5062,regulatory T
5064,regulatory T
5075,regulatory T
5087,regulatory T
5093,central memory T
5099,cytotoxic T lymphocytes
5104,proliferative CD4 T
5105,regulatory T
5108,central memory T
5111,intermediate T
5113,central memory T
5118,cytotoxic T lymphocytes
5121,regulatory T
5122,regulatory T
5124,central memory T
5126,regulatory T
5129,regulatory T
5133,tissue-resident memory T
5137,regulatory T
5139,cytotoxic T lymphocytes
5144,regulatory T
5145,cytotoxic T lymphocytes
5146,regulatory T
5147,regulatory T
5149,regulatory T
5151,regulatory T
5152,cytotoxic T lymphocytes
5155,regulatory T
5158,proliferative CD4 T
5161,regulatory T
5163,cytotoxic T lymphocytes
5167,naïve T
5172,regulatory T
5177,regulatory T
5179,regulatory T
5186,regulatory T
5202,regulatory T
5214,regulatory T
5215,regulatory T
5221,central memory T
5226,central memory T
5232,regulatory T
5233,regulatory T
5234,regulatory T
5235,regulatory T
5242,regulatory T
5250,regulatory T
5260,central memory T
5266,cytotoxic T lymphocytes
5268,cytotoxic T lymphocytes
5271,cytotoxic T lymphocytes
5272,regulatory T
5274,regulatory T
5284,central memory T
5287,central memory T
5292,central memory T
5293,regulatory T
5301,regulatory T
5302,cytotoxic T lymphocytes
5305,proliferative CD4 T
5309,regulatory T
5310,regulatory T
5311,cytotoxic T lymphocytes
5328,proliferative CD4 T
5348,cytotoxic T lymphocytes
5351,tissue-resident memory T
5356,proliferative CD4 T
5358,regulatory T
5367,regulatory T
5377,regulatory T
5380,regulatory T
5383,cytotoxic T lymphocytes
5386,proliferative CD4 T
5387,regulatory T
5388,regulatory T
5396,regulatory T
5401,proliferative CD4 T
5402,regulatory T
5403,regulatory T
5404,regulatory T
5406,cytotoxic T lymphocytes
5407,cytotoxic T lymphocytes
5409,regulatory T
5416,regulatory T
5421,regulatory T
5423,regulatory T
5430,tissue-resident memory T
5433,regulatory T
5444,regulatory T
5449,regulatory T
5464,regulatory T
5465,regulatory T
5468,tissue-resident memory T
5469,regulatory T
5484,regulatory T
5488,cytotoxic T lymphocytes
5491,regulatory T
5500,regulatory T
5510,intermediate T
5511,tissue-resident memory T
5513,cytotoxic T lymphocytes
5526,proliferative CD4 T
5531,regulatory T
5535,regulatory T
5542,regulatory T
5544,cytotoxic T lymphocytes
5547,regulatory T
5549,proliferative CD4 T
5555,tissue-resident memory T
5560,regulatory T
5564,cytotoxic T lymphocytes
5565,tissue-resident memory T
5569,regulatory T
5573,regulatory T
5575,central memory T
5577,regulatory T
5578,regulatory T
5581,proliferative CD4 T
5583,cytotoxic T lymphocytes
5584,regulatory T
5588,central memory T
5591,cytotoxic T lymphocytes
5592,cytotoxic T lymphocytes
5598,regulatory T
5599,regulatory T
5622,regulatory T
5624,regulatory T
5632,regulatory T
5633,cytotoxic T lymphocytes
5636,proliferative CD4 T
5640,cytotoxic T lymphocytes
5645,regulatory T
5649,regulatory T
5650,regulatory T
5665,regulatory T
5674,regulatory T
5684,cytotoxic T lymphocytes
5695,regulatory T
5699,regulatory T
5701,regulatory T
5712,regulatory T
5722,proliferative CD4 T
5723,regulatory T
5726,regulatory T
5734,central memory T
5737,proliferative CD4 T
5738,regulatory T
5743,regulatory T
5744,regulatory T
5749,regulatory T
5753,proliferative CD4 T
5755,central memory T
5762,central memory T
5777,cytotoxic T lymphocytes
5779,regulatory T
5786,tissue-resident memory T
5791,regulatory T
5796,cytotoxic T lymphocytes
5800,regulatory T
5801,cytotoxic T lymphocytes
5804,regulatory T
5819,regulatory T
5820,cytotoxic T lymphocytes
5830,regulatory T
5831,central memory T
5832,regulatory T
5852,regulatory T
5854,central memory T
5857,intermediate T
5862,regulatory T
5868,central memory T
5869,regulatory T
5871,regulatory T
5881,regulatory T
5882,regulatory T
5883,regulatory T
5884,regulatory T
5887,central memory T
5896,regulatory T
5900,regulatory T
5905,regulatory T
5906,regulatory T
5908,central memory T
5911,regulatory T
5912,regulatory T
5925,central memory T
5931,regulatory T
5933,regulatory T
5934,tissue-resident memory T
5940,regulatory T
5946,tissue-resident memory T
5947,regulatory T
5948,regulatory T
5953,proliferative CD4 T
5957,regulatory T
5958,regulatory T
5960,cytotoxic T lymphocytes
5963,central memory T
5965,regulatory T
5972,regulatory T
5976,intermediate T
5978,regulatory T
5986,central memory T
5993,regulatory T
5994,regulatory T
5995,regulatory T
5998,proliferative CD4 T
6003,regulatory T
6006,regulatory T
6007,regulatory T
6009,regulatory T
6014,cytotoxic T lymphocytes
6022,regulatory T
6023,cytotoxic T lymphocytes
6028,regulatory T
6033,regulatory T
6035,regulatory T
6053,regulatory T
6062,proliferative CD4 T
6072,cytotoxic T lymphocytes
6074,regulatory T
6080,regulatory T
6081,regulatory T
6082,regulatory T
6083,regulatory T
6090,cytotoxic T lymphocytes
6091,regulatory T
6102,regulatory T
6114,regulatory T
6118,cytotoxic T lymphocytes
6123,tissue-resident memory T
6131,regulatory T
6135,regulatory T
6137,regulatory T
6140,proliferative CD4 T
6142,central memory T
6147,central memory T
6149,tissue-resident memory T
6154,regulatory T
6159,regulatory T
6161,cytotoxic T lymphocytes
6162,central memory T
6163,regulatory T
6168,regulatory T
6174,regulatory T
6182,regulatory T
6186,regulatory T
6187,effector memory T
6204,cytotoxic T lymphocytes
6205,proliferative CD4 T
6206,regulatory T
6209,tissue-resident memory T
6210,proliferative CD4 T
6212,cytotoxic T lymphocytes
6214,regulatory T
6217,regulatory T
6221,regulatory T
6223,regulatory T
6224,cytotoxic T lymphocytes
6226,naïve T
6230,cytotoxic T lymphocytes
6231,regulatory T
6255,regulatory T
6268,regulatory T
6273,regulatory T
6277,regulatory T
6280,cytotoxic T lymphocytes
6282,regulatory T
6289,regulatory T
6292,central memory T
6297,proliferative CD4 T
6298,tissue-resident memory T
6307,cytotoxic T lymphocytes
6308,proliferative CD4 T
6320,regulatory T
6321,regulatory T
6329,regulatory T
6330,cytotoxic T lymphocytes
6334,regulatory T
6351,regulatory T
6357,cytotoxic T lymphocytes
6359,tissue-resident memory T
6361,regulatory T
6364,cytotoxic T lymphocytes
6367,cytotoxic T lymphocytes
6368,regulatory T
6373,regulatory T
6375,effector memory T
6383,central memory T
6389,regulatory T
6391,regulatory T
6393,regulatory T
6398,central memory T
6406,central memory T
6420,tissue-resident memory T
6428,regulatory T
6444,cytotoxic T lymphocytes
6447,regulatory T
6448,regulatory T
6457,proliferative CD4 T
